Moment,Vecka,Onsdag,Torsdag,Kommentar
1. Första världskriget,34,,Introduktion till kursen. Vad förväntas av dig som elev?,I boken: sid 361 - 377
1. Första världskriget,35,Läs dokumentet i pärmen ""Sverige i förändring"" och svara på frågorna. Se Classroom.,Vi går igenom svaren och tittar på svensk historia under 1700-talet.,
1. Första världskriget,36,Vi läste om nationalism och imperialism,"Läs utdraget ur""Enkel historia"", sid 17 - 21. Titta på mind map ""Första världskriget: bakgrund och utbrott"". Sidor i boken: 361 - 366",
1. Första världskriget,37,"Påbörja övningen ""Varför världskrig"" (i pärmen) hemma.","Vi börjar med att gå igenom fråga 2, 3 och 4 till ""Varför världskrig"" och sedan ""Vad hände i Sarajevo?""",
1. Första världskriget,38,Programdag: ingen lektion.,"Om kriget och ""Potatisbrist och brödfusk"".",
1. Första världskriget,39,"""Potatisbrist och brödfusk"" + SAMBAND","Samband: ingen (utom Dante och Johannes och Kristers) kom till lektionen.",
1. Första världskriget,40,Sambandsövning,Sambandsövning,
1. Första världskriget,41,Tidslinje. Vi börjar på instuderingsuppgifterna.,Ni fick i uppgift att påbörja instuderingsuppgifterna som läxa. Ni får arbeta med dem hela lektionen.,
1. Första världskriget,42,Arbeta med frågorna och kanske vi hinner gå igenom några frågor (eller alla?).,Programdag: ingen lektion.,
1. Första världskriget,43,Frågestund: om man undrar över något kring området. Jag pratar lite om hur provet är utformat.,Prov på Första världskriget.,
2. Mellankrigstiden,45,Mellankrigstiden. Introduktion. Sidorna 381 - 386 i boken + frågor.,"Läs sid: 387 - 388 + frågor och sidorna i pärmen om Ryssland (först), sedan i boken, sid 388 - 389.","I boken: sid 381 - 408. I pärmen finns text och frågor. På grund av tidsbrist tas vissa sidor om Sverige och Finland bort. Vecka 49 är lärare bortrest – då arbetar ni med tidslinjen och instuderingsfrågorna."
2. Mellankrigstiden,46,Sid 387 - 389 + frågor.,Sid 390 - 398 + frågor.,
2. Mellankrigstiden,47,Sid 399 - 403 + frågor.,Sverige och Finland: 404 - 408 + frågor.,
2. Mellankrigstiden,48,Sambandsövning,Sambandsövning + tidslinje + påbörja instuderingsfrågorna.,
2. Mellankrigstiden,49,Tidslinje och instuderingsfrågor.,Klara med instuderingsfrågorna,Lärare bortrest – självstudier.
2. Mellankrigstiden,50,Prov på mellankrigstiden,Jullov!,
3. Andra världskriget,2,,Vi läser i pärmen sid 29-30 och svarar på frågorna 1-4. I boken är det sidorna 413 - 419 och tillhörande frågor.,"Planeringen kan ändras vid sjukdom etc., men provdatum ligger fast."
3. Andra världskriget,3,"LÄXA: I pärmen, läs sidorna 31-32 (+ frågor 5-11) och i boken sid 417-422 (med frågor)","LÄXA: i boken, sid 423 - 429, 430 - 431 och tillhörande frågor.",
3. Andra världskriget,4,"""Källor till Förintelsen"". Läs igenom texterna hemma.","""Motstånd mot nazismen""",
3. Andra världskriget,5,"""Varför Förintelsen"" och ""Vägen mot Förintelsen""","""Sverige och Tyskland""",
3. Andra världskriget,6,Sambandsövning och tidslinje,Prov,
4. Europa efter världskrigen,7,"Introduktion: uppgift, plan och nästa provdatum",Läxa: sid 447 - 450 + frågor,"Sidor i boken: 447 - 469. Uppgifter/övningar i pärmen: Begrepp, Europa förändras, Tidslinje, Sambandsövning"
4. Europa efter världskrigen,8,"Boken: sid 454 - 455 och sedan en källövning: ""Livet i DDR""","Fortsätta och avsluta ""Livet i DDR""",
4. Europa efter världskrigen,9,SPORTLOV,,
4. Europa efter världskrigen,10,–,–,
4. Europa efter världskrigen,11,NP i SvA!!!,Vi är på teater.,
4. Europa efter världskrigen,12,"Frågorna sid 459 - 464, sedan sid 465 - 469 + frågor. Sist: Tidslinje",Sambandsövning (vilka begrepp hör samman),
4. Europa efter världskrigen,13,"Tidslinje, sambandsövning",Fortsätta med sambandsövning? Påbörja instuderingsfrågor.,
4. Europa efter världskrigen,14,Gå igenom instuderingsfrågorna + repetition.,Prov!,
5. Världen efter världskrigen,15,"Introduktion: Kalla kriget, Kubakrisen, Koreakriget",Vietnamkriget,
5. Världen efter världskrigen,16,"Vietnamkriget, sid 502-503, USA, sid 506 - 510","Läxa till idag: sid 504 + 506 - 510 (USA). Om vi hinner: Avkoloniseringen, sid 511 - 514",
5. Världen efter världskrigen,17,Mellanöstern sid 515 - 519,Asien sid 520 - 522,
5. Världen efter världskrigen,18,"Latinamerika, sid 523 + Attacken mot tvillingtornen, sid 524 - 526","Den arabiska våren, sid 526 - 527",
5. Världen efter världskrigen,19,Terrorismen sid 528 - 529 + Mot ett modernare samhälle sid 530 - 531,,
5. Världen efter världskrigen,20,"""Ondskans axelmakter""","""Sputnik-moment""",
5. Världen efter världskrigen,21,Sambandsövning,Tidslinje + instuderingsfrågor,
5. Världen efter världskrigen,22,Instuderingsfrågor,Prov (sista...),
